# Spacecraft Trajectory — artemis1 (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
58.420000,358.139,8344.465,18342.2319,26016.6226,31832.4068,8352.147,384860.279,0.000,0.000,385127.946,0.000
58.820000,10831.195,9384.992,20296.5168,9235.0840,22298.7750,14331.534,374424.115,0.000,0.000,385137.673,0.000
59.220000,18368.190,7171.549,17104.8276,2769.1973,17327.5383,19718.558,366849.374,0.000,0.000,385147.459,0.000
59.620000,23862.589,4039.682,14246.9188,-437.7308,14253.6417,24202.111,361317.298,0.000,0.000,385157.304,0.000
60.020000,27919.816,611.062,11865.9878,-2329.9751,12092.5783,27926.503,357247.913,0.000,0.000,385167.207,0.000
60.420000,30880.872,-2876.147,9833.8185,-3562.2048,10459.1247,31014.521,354307.970,0.000,0.000,385177.169,0.000
60.820000,32954.518,-6306.505,8045.6326,-4411.5778,9175.7410,33552.530,352289.123,0.000,0.000,385187.189,0.000
61.220000,34278.253,-9613.557,6428.9485,-5014.5738,8153.3631,35600.830,351050.673,0.000,0.000,385197.267,0.000
61.620000,34947.638,-12753.011,4933.0498,-5445.4288,7347.6306,37201.837,350491.858,0.000,0.000,385207.404,0.000
62.020000,35031.690,-15691.094,3520.8194,-5747.0758,6739.8108,38385.280,350537.274,0.000,0.000,385217.598,0.000
62.420000,34581.573,-18398.718,2163.5080,-5944.9348,6326.3747,39171.393,351128.644,0.000,0.000,385227.850,0.000
62.820000,33635.823,-20848.089,837.3571,-6053.5522,6111.1915,39572.862,352219.883,0.000,0.000,385238.159,0.000
63.220000,32223.638,-23010.346,-478.7389,-6079.8541,6098.6734,39595.945,353774.007,0.000,0.000,385248.526,0.000
63.620000,30367.028,-24853.556,-1805.0518,-6024.5372,6289.1383,39240.995,355761.122,0.000,0.000,385258.950,0.000
64.020000,28082.291,-26340.587,-3162.6811,-5882.1691,6678.5076,38502.488,358157.060,0.000,0.000,385269.432,0.000
64.420000,25381.090,-27426.447,-4575.3751,-5640.0319,7262.5076,37368.566,360942.397,0.000,0.000,385279.970,0.000
64.820000,22271.387,-28054.542,-6071.8768,-5275.2281,8043.3649,35819.995,364101.608,0.000,0.000,385290.565,0.000
65.220000,18758.558,-28150.903,-7689.3339,-4748.6994,9037.4776,33828.344,367622.080,0.000,0.000,385301.216,0.000
65.620000,14847.321,-27614.594,-9478.6532,-3992.8262,10285.3064,31352.970,371492.380,0.000,0.000,385311.925,0.000
66.020000,10546.155,-26300.463,-11513.1618,-2883.8266,11868.8394,28336.121,375698.236,0.000,0.000,385322.689,0.000
66.420000,5879.331,-23985.088,-13901.3943,-1172.7125,13950.7712,24695.161,380211.464,0.000,0.000,385333.509,0.000
66.820000,925.537,-20291.035,-16791.1743,1719.1667,16878.9535,20312.133,384953.994,0.000,0.000,385344.386,0.000
67.220000,-4024.638,-14491.864,-20184.3742,7468.5037,21521.7915,15040.340,389649.540,0.000,0.000,385355.318,0.000
67.620000,-7518.594,-5009.073,-20516.4914,22335.1516,30327.9642,9034.383,392916.830,0.000,0.000,385366.306,-0.000
68.020000,-1907.019,6934.335,12621.9389,32452.5353,34820.6891,7191.782,387346.443,0.000,0.000,385377.350,-0.000
68.420000,9374.538,8797.547,20884.8162,11992.3136,24083.0051,12856.080,376116.813,0.000,0.000,385388.448,0.000
68.820000,17366.507,6298.702,17881.3836,3977.1462,18318.3398,18473.473,368086.991,0.000,0.000,385399.602,0.000
69.220000,23000.514,2784.704,14904.9911,231.0539,14906.7819,23168.475,362420.996,0.000,0.000,385410.811,0.000
69.620000,27050.107,-982.347,12422.8748,-1907.1052,12568.4076,27067.938,358373.314,0.000,0.000,385422.075,0.000
70.020000,29930.600,-4744.684,10319.0381,-3273.6860,10825.8749,30304.337,355534.454,0.000,0.000,385433.393,-0.000
70.420000,31887.262,-8388.376,8480.6599,-4206.2177,9466.4597,32972.145,353657.000,0.000,0.000,385444.766,0.000
70.820000,33077.874,-11852.369,6828.6236,-4865.7706,8384.8568,35137.222,352577.592,0.000,0.000,385456.193,0.000
71.220000,33610.522,-15097.963,5307.9329,-5338.1864,7527.9735,36845.836,352180.925,0.000,0.000,385467.674,0.000
71.620000,33562.716,-18096.382,3878.8083,-5672.5447,6871.8933,38130.499,352381.465,0.000,0.000,385479.209,0.000
72.020000,32991.925,-20822.872,2510.8714,-5897.8719,6410.0989,39013.576,353113.363,0.000,0.000,385490.798,0.000
72.420000,31941.795,-23253.424,1179.4180,-6031.0704,6145.3102,39509.493,354324.501,0.000,0.000,385502.441,-0.000
72.820000,30446.034,-25362.595,-137.1099,-6080.8207,6082.3663,39626.029,355972.778,0.000,0.000,385514.137,0.000
73.220000,28530.974,-27121.673,-1459.0293,-6049.3587,6222.8215,39364.980,358023.676,0.000,0.000,385525.886,0.000
