# Spacecraft Trajectory — earth-escape (Earth-Moon-Sun)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,dist_Sun_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km,bx_Sun_km,by_Sun_km
88.050000,2052123.357,961560.918,7469.2864,24239.6073,25364.3214,2266232.484,1925551.148,150408103.156,0.000,0.000,383846.454,0.000,-106793208.488,104765661.176
89.050000,2084309.490,952398.778,7469.6126,24237.2964,25362.2090,2291595.401,1949028.211,150418987.815,0.000,0.000,383824.990,0.000,-105866656.352,105701913.664
90.050000,2116503.872,942707.520,7469.9606,24234.9937,25360.1111,2316956.216,1972549.118,150429909.848,0.000,0.000,383802.930,0.000,-104931863.672,106630004.691
91.050000,2148699.369,932486.091,7470.3305,24232.6988,25358.0269,2342314.942,1996113.663,150440869.248,0.000,0.000,383780.264,0.000,-103988898.829,107549864.547
92.050000,2180888.830,921733.520,7470.7219,24230.4109,25355.9558,2367671.593,2019721.651,150451866.005,0.000,0.000,383756.985,0.000,-103037830.670,108461424.105
93.050000,2213065.084,910448.919,7471.1349,24228.1295,25353.8974,2393026.180,2043372.898,150462900.110,0.000,0.000,383733.084,0.000,-102078728.495,109364614.822
94.050000,2245220.942,898631.483,7471.5693,24225.8541,25351.8511,2418378.717,2067067.227,150473971.555,0.000,0.000,383708.551,0.000,-101111662.059,110259368.733
95.050000,2277349.198,886280.489,7472.0250,24223.5842,25349.8163,2443729.215,2090804.472,150485080.331,0.000,0.000,383683.378,0.000,-100136701.559,111145618.459
96.050000,2309442.631,873395.299,7472.5020,24221.3192,25347.7926,2469077.685,2114584.474,150496226.427,0.000,0.000,383657.557,0.000,-99153917.632,112023297.201
97.050000,2341494.002,859975.356,7473.0002,24219.0587,25345.7795,2494424.137,2138407.080,150507409.835,0.000,0.000,383631.079,-0.000,-98163381.350,112892338.741
98.050000,2373496.060,846020.190,7473.5194,24216.8023,25343.7765,2519768.583,2162272.145,150518630.544,0.000,0.000,383603.936,0.000,-97165164.215,113752677.441
99.050000,2405441.538,831529.412,7474.0596,24214.5495,25341.7832,2545111.031,2186179.530,150529888.545,0.000,0.000,383576.119,0.000,-96159338.152,114604248.242
100.050000,2437323.158,816502.718,7474.6209,24212.3000,25339.7993,2570451.491,2210129.102,150541183.827,0.000,0.000,383547.620,0.000,-95145975.506,115446986.665
101.050000,2469133.628,800939.887,7475.2030,24210.0532,25337.8242,2595789.971,2234120.734,150552516.380,0.000,0.000,383518.431,0.000,-94125149.036,116280828.808
102.050000,2500865.646,784840.784,7475.8059,24207.8090,25335.8578,2621126.482,2258154.301,150563886.194,0.000,0.000,383488.544,0.000,-93096931.910,117105711.346
103.050000,2532511.898,768205.356,7476.4297,24205.5668,25333.8995,2646461.030,2282229.686,150575293.258,0.000,0.000,383457.950,0.000,-92061397.703,117921571.532
104.050000,2564065.062,751033.637,7477.0741,24203.3264,25331.9491,2671793.623,2306346.773,150586737.562,0.000,0.000,383426.643,-0.000,-91018620.389,118728347.190
105.050000,2595517.806,733325.744,7477.7393,24201.0875,25330.0063,2697124.270,2330505.452,150598219.094,0.000,0.000,383394.614,0.000,-89968674.340,119525976.722
106.050000,2626862.790,715081.879,7478.4252,24198.8497,25328.0708,2722452.977,2354705.616,150609737.843,0.000,0.000,383361.855,0.000,-88911634.320,120314399.100
107.050000,2658092.668,696302.329,7479.1317,24196.6128,25326.1422,2747779.752,2378947.160,150621293.799,0.000,0.000,383328.360,0.000,-87847575.481,121093553.869
108.050000,2689200.085,676987.465,7479.8588,24194.3764,25324.2204,2773104.600,2403229.982,150632886.950,0.000,0.000,383294.120,0.000,-86776573.359,121863381.144
109.050000,2720177.682,657137.746,7480.6064,24192.1404,25322.3050,2798427.530,2427553.983,150644517.284,0.000,0.000,383259.129,0.000,-85698703.873,122623821.608
110.050000,2751018.095,636753.713,7481.3746,24189.9044,25320.3958,2823748.545,2451919.066,150656184.790,0.000,0.000,383223.379,0.000,-84614043.318,123374816.513
111.050000,2781713.955,615835.993,7482.1634,24187.6683,25318.4925,2849067.654,2476325.136,150667889.456,0.000,0.000,383186.863,0.000,-83522668.362,124116307.678
