# Spacecraft Trajectory — jupiter-io (Jupiter-Io)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Jupiter_km,dist_Io_km,bx_Jupiter_km,by_Jupiter_km,bx_Io_km,by_Io_km
3.141000,136572.151,-148936.762,-25451.9631,-96218.1375,99527.5460,202074.519,321756.892,0.000,0.000,421783.193,0.000
3.161000,134804.003,-150822.628,-26201.1534,-95928.3632,99442.2008,202285.897,324198.087,0.000,0.000,421782.982,0.000
3.181000,133015.245,-152687.327,-26945.9053,-95631.9046,99355.6389,202500.556,326649.818,0.000,0.000,421782.770,-0.000
3.201000,131206.163,-154530.645,-27686.1474,-95328.8437,99267.8759,202718.468,329111.472,0.000,0.000,421782.557,0.000
3.221000,129377.045,-156352.372,-28421.8097,-95019.2634,99178.9276,202939.606,331582.452,0.000,0.000,421782.343,0.000
3.241000,127528.179,-158152.303,-29152.8246,-94703.2474,99088.8099,203163.942,334062.175,0.000,0.000,421782.127,0.000
3.261000,125659.859,-159930.237,-29879.1257,-94380.8799,98997.5386,203391.448,336550.070,0.000,0.000,421781.910,0.000
3.281000,123772.378,-161685.979,-30600.6491,-94052.2461,98905.1299,203622.095,339045.582,0.000,0.000,421781.692,0.000
3.301000,121866.031,-163419.337,-31317.3322,-93717.4316,98811.5999,203855.854,341548.169,0.000,0.000,421781.472,-0.000
3.321000,119941.115,-165130.125,-32029.1147,-93376.5224,98716.9647,204092.698,344057.301,0.000,0.000,421781.252,0.000
3.341000,117997.930,-166818.160,-32735.9379,-93029.6053,98621.2406,204332.596,346572.461,0.000,0.000,421781.030,-0.000
3.361000,116036.774,-168483.265,-33437.7451,-92676.7674,98524.4437,204575.520,349093.145,0.000,0.000,421780.807,0.000
3.381000,114057.951,-170125.267,-34134.4813,-92318.0963,98426.5905,204821.441,351618.863,0.000,0.000,421780.582,0.000
3.401000,112061.763,-171743.998,-34826.0934,-91953.6800,98327.6972,205070.328,354149.133,0.000,0.000,421780.357,0.000
3.421000,110048.514,-173339.294,-35512.5301,-91583.6068,98227.7803,205322.152,356683.489,0.000,0.000,421780.130,0.000
3.441000,108018.510,-174910.995,-36193.7422,-91207.9652,98126.8562,205576.883,359221.474,0.000,0.000,421779.902,0.000
3.461000,105972.059,-176458.949,-36869.6820,-90826.8443,98024.9411,205834.491,361762.643,0.000,0.000,421779.673,0.000
3.481000,103909.466,-177983.004,-37540.3036,-90440.3329,97922.0517,206094.946,364306.562,0.000,0.000,421779.443,0.000
3.501000,101831.042,-179483.015,-38205.5632,-90048.5204,97818.2043,206358.218,366852.809,0.000,0.000,421779.211,0.000
3.521000,99737.096,-180958.842,-38865.4184,-89651.4962,97713.4153,206624.275,369400.970,0.000,0.000,421778.978,-0.000
3.541000,97627.938,-182410.349,-39519.8290,-89249.3498,97607.7012,206893.088,371950.643,0.000,0.000,421778.744,0.000
3.561000,95503.879,-183837.404,-40168.7562,-88842.1707,97501.0783,207164.626,374501.435,0.000,0.000,421778.509,0.000
3.581000,93365.232,-185239.880,-40812.1632,-88430.0485,97393.5632,207438.857,377052.965,0.000,0.000,421778.273,0.000
3.601000,91212.307,-186617.654,-41450.0147,-88013.0728,97285.1720,207715.752,379604.859,0.000,0.000,421778.035,0.000
3.621000,89045.419,-187970.609,-42082.2774,-87591.3330,97175.9213,207995.280,382156.754,0.000,0.000,421777.796,0.000
3.641000,86864.880,-189298.630,-42708.9193,-87164.9185,97065.8272,208277.408,384708.295,0.000,0.000,421777.556,0.000
3.661000,84671.005,-190601.609,-43329.9106,-86733.9188,96954.9061,208562.107,387259.136,0.000,0.000,421777.315,-0.000
3.681000,82464.106,-191879.442,-43945.2228,-86298.4229,96843.1742,208849.345,389808.940,0.000,0.000,421777.073,0.000
3.701000,80244.498,-193132.027,-44554.8290,-85858.5198,96730.6477,209139.091,392357.380,0.000,0.000,421776.829,0.000
3.721000,78012.495,-194359.270,-45158.7043,-85414.2982,96617.3427,209431.313,394904.134,0.000,0.000,421776.584,0.000
3.741000,75768.412,-195561.078,-45756.8250,-84965.8466,96503.2752,209725.981,397448.890,0.000,0.000,421776.338,0.000
3.761000,73512.562,-196737.364,-46349.1693,-84513.2533,96388.4614,210023.064,399991.345,0.000,0.000,421776.091,0.000
3.781000,71245.261,-197888.046,-46935.7168,-84056.6062,96272.9170,210322.529,402531.201,0.000,0.000,421775.843,0.000
3.801000,68966.822,-199013.046,-47516.4486,-83595.9928,96156.6581,210624.346,405068.170,0.000,0.000,421775.594,0.000
3.821000,66677.558,-200112.288,-48091.3475,-83131.5003,96039.7004,210928.483,407601.968,0.000,0.000,421775.343,0.000
