# Spacecraft Trajectory — mars-approach (Mars-Phobos)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Mars_km,dist_Phobos_km,bx_Mars_km,by_Mars_km,bx_Phobos_km,by_Phobos_km
4.682000,-779.820,3900.287,7071.3019,10121.4283,12346.9276,3977.481,10882.109,-0.000,0.000,9379.316,0.000
4.722000,-1126.690,3784.057,5914.4543,10933.1469,12430.3850,3948.229,11166.665,-0.000,0.000,9379.276,0.000
4.762000,-1467.052,3639.911,4648.0738,11602.3539,12498.7681,3924.436,11440.755,-0.000,0.000,9379.234,-0.000
4.802000,-1797.803,3468.288,3292.7052,12110.8437,12550.4758,3906.548,11702.743,-0.000,0.000,9379.190,0.000
4.842000,-2115.861,3270.090,1872.7020,12444.1254,12584.2469,3894.914,11951.094,-0.000,0.000,9379.145,0.000
4.882000,-2418.259,3046.684,415.3371,12592.3860,12599.2337,3889.763,12184.414,-0.000,0.000,9379.099,0.000
4.922000,-2702.239,2799.881,-1050.3698,12551.1795,12595.0539,3891.199,12401.488,-0.000,0.000,9379.052,0.000
4.962000,-2965.340,2531.889,-2495.0033,12321.7481,12571.8144,3899.193,12601.320,-0.000,0.000,9379.003,0.000
5.002000,-3205.468,2245.244,-3890.1443,11910.9323,12530.1050,3913.584,12783.144,-0.000,0.000,9378.953,0.000
5.042000,-3420.950,1942.726,-5209.6596,11330.6804,12470.9611,3934.092,12946.443,-0.000,0.000,9378.902,0.000
5.082000,-3610.560,1627.270,-6430.7609,10597.2269,12395.8018,3960.322,13090.943,-0.000,0.000,9378.850,0.000
5.122000,-3773.527,1301.871,-7534.7494,9730.0463,12306.3500,3991.789,13216.599,-0.000,0.000,9378.796,0.000
5.162000,-3909.514,969.499,-8507.4083,8750.7069,12204.5429,4027.931,13323.576,-0.000,0.000,9378.742,-0.000
5.202000,-4018.582,633.020,-9339.0561,7681.7451,12092.4429,4068.134,13412.216,-0.000,0.000,9378.687,0.000
5.242000,-4101.145,295.137,-10024.3146,6545.6555,11972.1547,4111.751,13483.006,-0.000,0.000,9378.631,0.000
5.282000,-4157.908,-41.654,-10561.6634,5364.0625,11845.7545,4158.117,13536.546,-0.000,0.000,9378.574,0.000
5.322000,-4189.813,-375.098,-10952.8639,4157.1004,11715.2342,4206.570,13573.513,-0.000,0.000,9378.516,0.000
5.362000,-4197.975,-703.188,-11202.3259,2943.0041,11582.4600,4256.462,13594.631,-0.000,0.000,9378.458,0.000
5.402000,-4183.631,-1024.172,-11316.4792,1737.8886,11449.1467,4307.168,13600.647,-0.000,0.000,9378.399,0.000
5.442000,-4148.092,-1336.544,-11303.1924,555.6840,11316.8433,4358.098,13592.303,-0.000,0.000,9378.340,0.000
5.482000,-4092.700,-1639.029,-11171.2646,-591.8100,11186.9295,4408.697,13570.324,-0.000,0.000,9378.280,0.000
5.522000,-4018.796,-1930.563,-10930.0037,-1694.7875,11060.6187,4458.452,13535.402,-0.000,0.000,9378.219,-0.000
5.562000,-3927.697,-2210.269,-10588.8912,-2745.2485,10938.9673,4506.894,13488.183,-0.000,0.000,9378.158,0.000
5.602000,-3820.670,-2477.437,-10157.3283,-3736.7847,10822.8868,4553.593,13429.265,-0.000,0.000,9378.097,0.000
5.642000,-3698.924,-2731.497,-9644.4541,-4664.3586,10713.1571,4598.164,13359.190,-0.000,0.000,9378.036,0.000
5.682000,-3563.598,-2972.001,-9059.0233,-5524.0891,10610.4413,4640.261,13278.445,-0.000,0.000,9377.975,-0.000
5.722000,-3415.760,-3198.595,-8409.3346,-6313.0505,10515.2991,4679.576,13187.459,-0.000,0.000,9377.913,0.000
5.762000,-3256.401,-3411.008,-7703.1954,-7029.0928,10428.2004,4715.838,13086.608,0.000,0.000,9377.851,0.000
5.802000,-3086.439,-3609.027,-6947.9181,-7670.6815,10349.5372,4748.809,12976.212,0.000,0.000,9377.790,0.000
5.842000,-2906.721,-3792.489,-6150.3362,-8236.7613,10279.6338,4778.284,12856.542,0.000,0.000,9377.728,0.000
5.882000,-2718.029,-3961.260,-5316.8375,-8726.6386,10218.7564,4804.088,12727.821,0.000,0.000,9377.667,0.000
5.922000,-2521.081,-4115.231,-4453.4075,-9139.8853,10167.1206,4826.072,12590.229,0.000,0.000,9377.606,0.000
5.962000,-2316.545,-4254.300,-3565.6800,-9476.2593,10124.8982,4844.115,12443.906,0.000,0.000,9377.545,0.000
6.002000,-2105.039,-4378.370,-2658.9934,-9735.6411,10092.2225,4858.119,12288.958,0.000,0.000,9377.484,0.000
6.042000,-1887.144,-4487.339,-1738.4487,-9917.9849,10069.1920,4868.010,12125.457,0.000,0.000,9377.424,0.000
6.082000,-1663.407,-4581.092,-808.9704,-10023.2815,10055.8742,4873.738,11953.454,0.000,0.000,9377.365,-0.000
6.122000,-1434.354,-4659.498,124.6324,-10051.5345,10052.3071,4875.274,11772.974,0.000,0.000,9377.306,0.000
